Country,Year,GDP (USD),Population,Life Expectancy,Unemployment Rate (%),CO2 Emissions (metric tons per capita),Access to Electricity (%)
United States,2010,19635370000000.0,705930000.0,65.5,18.01,16.99,97.58
United Kingdom,2011,13235260000000.0,849830000.0,59.5,24.24,15.87,68.85
Nigeria,2012,3299410000000.0,313530000.0,53.0,7.75,8.53,86.8
Brazil,2013,3323420000000.0,1207240000.0,64.9,8.52,5.42,65.49
Nigeria,2014,4359939999999.9995,1428660000.0,81.0,19.52,16.55,97.79
Italy,2015,19306190000000.0,104310000.0,71.7,9.35,4.94,69.9
Saudi Arabia,2016,8399040000000.001,756200000.0,50.7,16.47,13.57,55.19
South Korea,2017,13078630000000.0,1219400000.0,74.2,14.81,12.36,64.8
Australia,2018,4447080000000.0,1090030000.0,75.6,3.69,3.74,86.12
Brazil,2019,9209270000000.0,815700000.0,79.4,5.82,11.94,57.0
China,2010,11051540000000.0,149740000.0,82.7,14.63,19.44,50.12
Indonesia,2011,2860590000000.0,254580000.0,55.6,10.31,3.6,76.75
United States,2012,17950000000000.0,566290000.0,59.5,15.38,9.53,63.82
Mexico,2013,3158440000000.0,722090000.0,69.9,17.83,16.58,54.95
Brazil,2014,11803690000000.0,255730000.0,68.4,6.27,10.83,98.84
China,2015,6739310000000.0,603690000.0,63.5,18.05,16.88,78.31
India,2016,18649290000000.0,1011750000.0,74.4,3.04,6.29,58.97
United States,2017,11620000000000.0,656050000.0,83.3,10.24,9.6,99.02
China,2018,16172620000000.0,101390000.0,50.5,3.42,5.53,75.8
Brazil,2019,18026090000000.0,366950000.0,71.0,12.68,6.95,68.95
Italy,2010,5037070000000.0,1485050000.0,61.7,3.14,2.58,89.1
Japan,2011,13544070000000.0,262160000.00000003,66.5,13.53,19.5,90.01
United Kingdom,2012,16433610000000.0,1394680000.0,70.0,17.91,7.98,59.37
Italy,2013,8101070000000.0,314660000.0,57.5,20.86,3.74,89.96
Indonesia,2014,9182600000000.0,444620000.0,59.1,4.1,12.48,71.07
Indonesia,2015,5056910000000.0,1311010000.0,80.7,24.26,9.94,58.63
Saudi Arabia,2016,9537130000000.0,1329040000.0,82.2,8.38,12.17,62.5
Nigeria,2017,19332690000000.0,51740000.0,63.2,5.65,5.49,80.87
France,2018,8648459999999.999,59660000.0,69.1,19.96,2.72,97.42
France,2019,15291730000000.0,1093350000.0,62.2,3.59,16.14,55.68
Australia,2010,5407850000000.0,151690000.0,83.9,3.15,18.51,71.73
Canada,2011,6456990000000.0,405930000.0,79.9,2.27,9.62,56.49
South Africa,2012,3261270000000.0,862690000.0,65.2,17.44,9.34,68.9
Russia,2013,15796990000000.0,541370000.0,67.4,21.3,18.56,52.82
South Africa,2014,7818680000000.0,1492770000.0,52.7,4.33,1.31,91.38
Argentina,2015,10732260000000.0,1030619999.9999999,74.5,22.4,12.13,61.32
Canada,2016,15408270000000.0,273750000.0,54.5,6.36,14.91,79.49
Mexico,2017,5279010000000.0,815030000.0,64.6,16.85,3.93,73.88
Japan,2018,1195940000000.0,110470000.0,58.8,12.22,9.65,56.25
United States,2019,19970290000000.0,1184630000.0,65.7,17.92,2.57,72.17
South Africa,2010,7485750000000.0,552640000.0,63.3,13.41,11.79,98.98
India,2011,12017460000000.0,890250000.0,72.2,9.19,12.42,68.87
United States,2012,15811850000000.0,56210000.0,69.0,10.02,14.08,60.64
United Kingdom,2013,5435660000000.0,719240000.0,53.2,22.05,19.51,56.06
Indonesia,2014,4294939999999.9995,570500000.0,56.2,15.82,2.11,98.57
India,2015,9980710000000.0,208150000.0,65.7,2.54,11.3,66.19
South Korea,2016,4023090000000.0,1349290000.0,65.2,17.38,14.75,96.05
Mexico,2017,16705700000000.0,1216530000.0,63.0,11.48,2.67,72.77
India,2018,16681060000000.002,243570000.0,72.8,11.59,18.42,60.83
Saudi Arabia,2019,15918460000000.0,31010000.0,81.5,8.43,8.67,50.37
Saudi Arabia,2010,5940730000000.0,258459999.99999997,65.8,3.62,5.93,67.57
China,2011,19655420000000.0,67570000.0,52.1,19.88,2.64,57.07
United Kingdom,2012,2358210000000.0,1283910000.0,78.7,9.33,11.29,77.19
Russia,2013,10296780000000.0,845880000.0,50.5,16.57,3.81,93.61
Italy,2014,13299920000000.0,1243970000.0,76.6,12.73,11.23,53.06
Nigeria,2015,15033350000000.0,1088040000.0,58.4,18.75,6.77,64.12
Australia,2016,3604370000000.0,574500000.0,56.7,8.69,2.16,99.49
Canada,2017,18024380000000.0,721250000.0,51.4,13.68,11.47,93.54
Saudi Arabia,2018,17792730000000.0,1065010000.0,57.7,10.35,16.31,88.74
France,2019,3202390000000.0,1082770000.0,54.4,13.25,9.53,78.61
Australia,2010,10511940000000.0,106600000.0,70.1,17.57,17.34,52.59
Saudi Arabia,2011,2948880000000.0,934960000.0,71.1,18.05,10.14,90.89
Russia,2012,18586900000000.0,992500000.0,58.2,18.39,6.3,68.38
United States,2013,13252320000000.0,1285540000.0,63.3,24.74,3.52,60.03
Italy,2014,18161710000000.0,1367090000.0,53.7,7.97,19.77,88.75
United Kingdom,2015,2008500000000.0,370940000.0,64.9,11.76,5.81,72.58
United Kingdom,2016,2422510000000.0,1158500000.0,64.0,13.35,3.99,62.63
Japan,2017,8064770000000.0,72280000.0,50.5,2.4,3.75,54.58
Japan,2018,18793060000000.0,1054589999.9999999,56.7,10.57,0.93,51.28
Nigeria,2019,16589390000000.0,1312990000.0,62.9,5.77,8.58,57.83
Argentina,2010,17956630000000.0,77350000.0,52.2,8.1,5.45,75.5
Australia,2011,5695130000000.0,360220000.0,74.9,20.24,2.69,66.48
Argentina,2012,12523950000000.0,691470000.0,80.1,13.84,9.37,86.29
South Korea,2013,14746130000000.0,779960000.0,71.2,15.06,11.36,92.82
Nigeria,2014,3931760000000.0,1327490000.0,54.7,24.48,7.4,62.08
Italy,2015,19900750000000.0,915300000.0,54.1,22.52,12.05,78.45
South Korea,2016,5137880000000.0,568050000.0,51.4,18.47,3.1,50.57
Germany,2017,4660800000000.0,1071119999.9999999,52.4,5.09,5.84,96.99
South Africa,2018,9247190000000.0,768390000.0,81.9,2.79,17.43,84.2
Indonesia,2019,8402549999999.999,1086020000.0,68.5,6.57,1.6,85.13
Japan,2010,8351719999999.999,975960000.0,83.5,16.41,5.19,71.12
Canada,2011,12045040000000.0,334480000.0,66.8,24.2,1.1,98.23
India,2012,13752030000000.0,573050000.0,68.4,19.73,18.99,73.28
Brazil,2013,7211860000000.0,533250000.0,60.5,14.92,15.7,80.13
France,2014,10668930000000.0,9970000.0,53.2,12.2,13.61,65.16
Germany,2015,1157770000000.0,1235080000.0,62.9,22.65,2.57,50.3
Argentina,2016,4524260000000.0,1481130000.0,55.0,8.83,15.83,89.38
South Africa,2017,5192490000000.0,1033359999.9999999,77.6,6.77,18.13,67.34
France,2018,13275800000000.0,1174000000.0,56.4,7.9,6.6,58.9
Saudi Arabia,2019,13952750000000.0,232650000.0,75.6,9.27,18.05,75.52
Saudi Arabia,2010,19369590000000.0,1160850000.0,74.5,2.62,9.94,98.67
Nigeria,2011,12892520000000.0,1179260000.0,77.2,7.28,4.71,51.4
Argentina,2012,19622300000000.0,1089730000.0,57.9,18.52,1.24,55.74
Germany,2013,2464050000000.0,169820000.0,59.8,19.24,9.62,70.38
Canada,2014,14397790000000.0,414680000.0,56.4,22.13,19.1,70.18
Russia,2015,7999460000000.0,544360000.0,56.7,17.51,0.94,67.94
Russia,2016,5874760000000.0,865490000.0,72.4,21.17,7.17,95.76
Turkey,2017,18275540000000.0,965840000.0,80.3,9.86,2.52,58.39
France,2018,15010970000000.0,1041960000.0,67.7,3.79,17.74,64.28
Italy,2019,14665360000000.0,605040000.0,57.4,5.68,16.65,55.19
Germany,2010,19572400000000.0,820240000.0,82.3,19.46,4.11,60.41
India,2011,4770810000000.0,582170000.0,74.1,7.73,4.16,98.09
Turkey,2012,13647160000000.0,958910000.0,57.4,7.41,11.8,72.47
Turkey,2013,15421280000000.0,117270000.0,83.5,12.82,9.01,60.73
Mexico,2014,9244960000000.0,971670000.0,54.7,15.14,1.37,79.03
China,2015,3894420000000.0,535039999.99999994,81.5,5.14,12.31,67.58
Australia,2016,1998330000000.0,1129800000.0,55.4,3.12,18.27,84.97
France,2017,7644660000000.0,1441290000.0,54.8,23.88,16.44,65.52
Saudi Arabia,2018,10500360000000.0,1307180000.0,61.8,17.71,1.88,50.63
Turkey,2019,17515090000000.0,263690000.0,64.4,4.58,9.29,59.65
Saudi Arabia,2010,13610830000000.0,1498060000.0,59.8,6.99,8.05,58.66
Italy,2011,19164340000000.0,159020000.0,58.1,12.8,12.43,51.3
France,2012,2584210000000.0,446060000.0,60.5,21.79,13.31,56.12
Canada,2013,18790030000000.0,1383380000.0,60.7,24.14,9.77,51.55
United States,2014,11306670000000.0,569860000.0,57.8,17.73,19.17,61.85
Japan,2015,8922760000000.0,1192430000.0,68.7,23.2,11.73,76.0
Russia,2016,14520780000000.0,1027790000.0,59.2,15.82,19.07,99.61
Argentina,2017,6053130000000.0,574860000.0,53.2,22.49,8.29,93.07
South Korea,2018,14872270000000.0,1345230000.0,75.7,15.36,16.89,97.1
Japan,2019,11529620000000.0,398840000.0,65.7,13.31,2.18,72.7
South Africa,2010,14150210000000.0,945010000.0,59.1,11.97,8.62,64.26
Mexico,2011,15695540000000.0,1417300000.0,56.3,6.27,8.28,50.23
Turkey,2012,19983770000000.0,1287970000.0,66.6,11.28,12.02,52.15
Turkey,2013,14537980000000.0,129910000.0,52.8,24.55,6.35,64.89
Indonesia,2014,1622550000000.0,1384170000.0,51.0,24.33,18.08,96.89
South Africa,2015,1575330000000.0,749390000.0,80.4,17.75,15.01,80.64
Indonesia,2016,11434540000000.0,1453920000.0,70.8,23.18,5.56,87.7
Indonesia,2017,6982620000000.0,766010000.0,71.3,5.91,2.67,84.5
United Kingdom,2018,15268160000000.0,129889999.99999999,79.7,22.45,16.31,73.76
Canada,2019,6242390000000.0,492280000.0,82.1,17.94,1.92,61.95
Japan,2010,19425370000000.0,1005960000.0,62.6,15.46,16.43,72.2
Indonesia,2011,19385710000000.0,502780000.0,67.5,14.26,6.55,57.46
Argentina,2012,17488880000000.002,170590000.0,57.7,5.74,12.13,73.58
China,2013,9642390000000.0,1398370000.0,53.7,9.72,1.16,71.31
Mexico,2014,2248400000000.0,257480000.00000003,61.6,18.22,3.81,99.33
Canada,2015,8795260000000.0,1109080000.0,55.5,22.59,3.33,62.87
India,2016,6372010000000.0,96360000.0,77.1,13.08,17.19,84.51
Argentina,2017,2785810000000.0,993250000.0,69.9,14.57,16.38,51.74
France,2018,11921420000000.0,74990000.0,54.5,24.06,19.84,72.86
Turkey,2019,7362690000000.0,11970000.0,82.2,2.42,8.09,69.67
India,2010,4299149999999.9995,93430000.0,75.4,23.9,17.2,65.9
Germany,2011,10278320000000.0,673660000.0,84.9,3.98,4.71,98.59
United Kingdom,2012,14067160000000.0,640390000.0,72.9,15.24,14.38,94.97
Indonesia,2013,2375280000000.0,549950000.0,54.0,20.31,7.02,86.41
France,2014,10781290000000.0,130660000.0,54.9,13.97,15.61,61.83
India,2015,13691740000000.0,1367400000.0,63.9,3.16,2.7,94.86
South Africa,2016,13649640000000.0,1083480000.0,83.0,10.06,1.04,90.78
Mexico,2017,8608370000000.001,584570000.0,68.4,16.86,7.22,52.8
Argentina,2018,4076110000000.0,1268650000.0,58.3,14.11,14.82,78.62
Argentina,2019,7838600000000.0,387520000.0,76.3,5.96,16.07,51.05
Japan,2010,4349939999999.9995,234270000.0,54.3,22.95,17.41,62.48
Turkey,2011,18441030000000.0,1374010000.0,63.4,20.78,4.97,79.16
Indonesia,2012,7460330000000.0,576540000.0,67.5,5.18,1.04,74.34
France,2013,18185700000000.0,317040000.0,62.1,14.5,4.43,63.8
Russia,2014,18979150000000.0,661490000.0,72.7,22.26,12.14,86.32
Brazil,2015,7406730000000.0,359010000.0,82.4,11.97,9.88,68.19
United Kingdom,2016,9238750000000.0,1300930000.0,57.5,8.44,4.37,74.24
United States,2017,15718190000000.0,1233280000.0,63.1,6.78,14.03,87.22
Mexico,2018,12850570000000.0,488300000.0,76.0,24.63,3.2,79.78
Italy,2019,14533190000000.0,1165030000.0,61.7,21.84,13.98,54.87
Italy,2010,8047930000000.0,591930000.0,79.0,22.12,14.58,70.11
India,2011,4681240000000.0,369290000.0,72.8,21.14,3.28,87.48
United States,2012,1011720000000.0,274330000.0,75.4,24.79,18.38,88.62
South Korea,2013,12851680000000.0,643250000.0,70.4,5.79,15.33,76.09
Germany,2014,5277580000000.0,649390000.0,64.2,16.24,3.75,67.18
India,2015,1110880000000.0,672780000.0,78.5,22.3,11.36,66.04
Australia,2016,9210290000000.0,689650000.0,64.9,9.82,15.59,67.29
United States,2017,4937150000000.0,1234820000.0,61.0,4.14,14.66,91.16
Canada,2018,10886960000000.0,262589999.99999997,76.5,2.28,7.25,59.21
United Kingdom,2019,4525980000000.0,535470000.0,73.7,17.29,16.68,65.48
